scenario,problem,trials,solved_trials,success_rate,timeout_rate,run_time,search_time,sample_time,evaluations,iterations,complexity,skeletons,cost,length,solutions,wall_time
pick_place,get_pick_and_place_problem,20,20,1.0,0.0,0.020849382877349852,0.0208054780960083,4.367828369140625e-05,14.0,2.0,1.0,1.0,0.0,4.0,1.0,0.02286992073059082
object_transport,get_object_transport_problem,20,20,1.0,0.0,0.02298327684402466,0.0229422926902771,4.076957702636719e-05,18.0,2.0,1.0,1.0,0.0,4.0,1.0,0.024754059314727784
rearrangement,get_rearrangement_problem,20,20,1.0,0.0,0.04360253810882568,0.043551194667816165,5.1116943359375e-05,23.0,2.0,1.0,1.0,0.0,12.0,1.0,0.04542856216430664
