scenario,problem,trials,solved_trials,success_rate,timeout_rate,run_time,search_time,sample_time,evaluations,iterations,complexity,skeletons,cost,length,solutions,wall_time
pick_place,get_pick_and_place_problem,20,20,1.0,0.0,0.13416563272476195,0.12411323785781861,0.010052156448364259,62.4,5.0,4.0,1.0,21.832816918949682,4.0,1.0,0.1521915078163147
corridor,get_corridor_problem,20,20,1.0,0.0,0.28789817094802855,0.14566686153411865,0.14223095178604125,68.0,5.0,4.0,1.0,22.817285368676394,4.0,1.0,0.31130253076553344
multi_object,get_multi_object_problem,20,20,1.0,0.0,1.120696485042572,0.9794322371482849,0.14126397371292115,158.5,5.05,4.05,1.0,69.2559436075451,12.0,1.0,1.1406558156013489
at_work,get_at_work_problem,20,20,1.0,0.0,4.445751798152924,4.055635619163513,0.3901158094406128,385.1,5.0,4.0,1.0,117.55521300123269,20.0,1.0,4.46999055147171
